0x1f615	বিভ্রান্ত,কি,
0x1f619	শিস,ঘা,
0x263a	শ্লথ,
0x1f634	সুপ্ত,
0x1f627	কেন,
0x1f628	ভয় করা,আশঙ্কাজনক,মলিন,
0x1f629	ক্লান্ত,
0x1f608	অসাধু,
0x1f47d	ইউএফও,নাসা,পরক,
0x1f4a9	কমিক,গোবর,হাগু,হাগা,সার,
0x1f649	শোনা,অট্ট,আবিষ্কৃত,
0x1f476	শিশু,তরুণ,শিশু,
0x1f466	ছেলে,ছোট,
0x1f467	কন্যা,রাশি,মেয়ে,
0x1f46e	অফিসার,পুলিশ,টহল,কনস্টেবল,
0x1f482	পাহারা,
0x1f473	পাগড়ি,ইসলাম,
0x1f645	হাত,না,
0x1f646	হ্যাঁ,অ,
0x1f481	সাহায্য,তথ্য,এখানে,
0x1f64b	উত্থাপিত,সালাম,
0x1f647	নম,ধারণা,
0x1f486	ম্যাসেজ,
0x1f487	নাপিত,সৌন্দর্য,কেশকর্তন,
0x1f6b6	হাঁটা,ভ্রমণ,
0x1f3c3	ম্যারাথন,চলন্ত,জাতি,ড্যাশ,
0x1f483	নাচা,নর্তকী,বল,নৃত্য,
0x1f46f	খরগোশ,
0x1f464	প্রোফাইল,সন্দেহ কর,
0x1f3c4	সমূদ্রতট,
0x1f6a3	নৌকা,অবলম্বন,
0x1f3ca	সাঁতার,সাঁতার,পুকুর,অবসর,সমুদ্র,
0x1f46b	দম্পতি,রাখা,
0x1f46c	মিথুন,যুগল,মানুষজন,গে,
0x1f46d	লেসবিয়ান,
0x1f48f	স্নেহপ্রবণ,আমরা,
0x1f491	খেজুর,
0x1f46a	পরিবার,ঘরবাড়ি,
0x1f4aa	পেশী,ক্ষমতা,
0x261d	উপর,আকাশ,এক,
0x270c	বিজয়,কাঁচি,কিতা,দুই,
0x1f44a	আঘাত করা,
0x1f44b	তরঙ্গ,
0x1f450	খালি,
0x1f64c	অনুষ্ঠান,ধাক্কা,
0x1f485	যত্ন,নখ,
0x1f463	বস্ত্র,পদ,ছাপা,অনন্য,পদ,
0x1f445	শরীর,
0x1f493	মারধর,
0x1f49b	হলদে,
0x1f49f	জরুরি অবস্থা,
0x1f48c	চিঠি,চিঠি,
0x1f4a3	বিস্কোরক,বোমা,
0x1f4a8	পাদা,গ্যাস,দৌড়ান,
0x1f4ab	তারা,ঘূর্ণন,
0x1f4ac	বেলুন,বুদ্বুদ,সংলাপ,ভাষা,
0x1f4ad	চিন্তা,
0x1f453	চশমা,
0x1f454	নিবন্ধন,শার্ট,দপ্তর,নেকটাই,
0x1f457	বস্ত্র,কেনাকাটা,
0x1f459	বিকিনি,গ্রীষ্ম,
0x1f45f	জুতা,পাদুকা,
0x1f460	এড়ি,
0x1f451	রাজা,সোনা,মধ্যযুগীয়,মুকুট,
0x1f3a9	টুপি,শীর্ষ,টুপি,ভদ্রলোক,
0x1f393	বিদ্যালয়,
0x1f484	লিপস্টিক,
0x1f48d	হীরা,চক্র,মণি,আনুষঙ্গিক,প্রস্তাব কর,মণি,
0x1f48e	ধন,
0x1f436	কুকুর,পোষ্য,শিয়াল,
0x1f431	বাঘ,
0x1f437	শুওর,মোটা,
0x1f43c	পান্ডা,গণচীন,
0x1f43e	ফুট,থাবা,
0x1f426	পাখী,টিয়া,টিয়া,
0x1f433	তিমি,স্তন্যপায়ী,
0x1f41f	মীন,মাছ,জল,
0x1f343	ওড়া,বায়ু,নিভৃত,
0x1f349	ফল,তরমুজ,
0x1f34c	কলা,
0x1f34d	ক্রান্তীয়,আনারস,
0x1f34e	আপেল,আদম,
0x1f351	পীচ,কন্যা,
0x1f352	ব্যয়বহুল,
0x1f353	বেরি,স্ট্রবেরি,মিষ্টি,
0x1f357	হাড়,মুরগি,পা,মাংস,কেন্টাকি ফ্রাইড চিকেন,
0x1f354	ম্যাকডোনাল্ড’স,হ্যামবার্গার,
0x1f35f	ফরাসি ভাষা,আলু,
0x1f355	পনির,পিৎজা,খাদ্য,
0x1f364	ভাজা,চিংড়ি,চিংড়ি,
0x1f369	রুটি,ডোনাট,
0x1f370	ক্যাফে,
0x1f36b	বার,চকলেট,
0x1f377	কাঁচ,মদ,
0x1f378	মালদ্বীপ,
0x1f37a	বিয়ার,মগ,ভালুক,
0x1f37b	টোস্ট,ধনবাদ,পার্টি,
0x1f374	রন্ধন,কাঁটাচামচ,ছুরি,স্টেক,খাওয়া,
0x1f52a	টুল,অস্ত্র,পাচক,বধ,
0x1f30e	আমেরিকা,পশ্চিম,
0x1f3e0	বাড়ি,গৃহ,বিশ্রাম,
0x1f3e1	উদ্দ্যান,ভিলা,
0x1f303	রাত,চাঁদ,শহর,
0x1f305	সকাল,দিগন্ত,সূর্যোদয়,
0x1f306	কালচে,সন্ধ্যা,অনুভূমিক,সূর্যাস্ত,অন্ধকার,প্রত্যূষ,গোধূলি,
0x1f307	দৃশ্য,উজ্জ্বল,
0x1f309	সেতু,
0x1f30c	মহাকাশ,ছায়াপথ,
0x1f488	মেরু,
0x1f3ad	শিল্প,থিয়েটার,থিয়েটার,নামবিহীন,
0x1f3a8	জাদুঘর,চিত্র,রং,অঙ্কন,আঁকা,
0x1f697	গাড়ি,চালানো,
0x1f698	গাড়ি,
0x1f6b2	বাইসাইকেল,বাইসাইকেল,
0x26fd	জ্বালানি,পাম্প,স্টেশন,পেট্রল,
0x1f6a8	আলো,সাইরেন,ঝুঁকি,ভুল,
0x2693	জাহাজ,বন্দর,নঙ্গর,
0x26f5	পাল,
0x1f6a2	যাত্রী,ক্রুজ,টাইটানিক,
0x2708	বিমান,উড়োজাহাজ,ভ্রমণ,যাওয়া,
0x1f680	রকেট,
0x1f311	কালো,অন্ধকার,গ্রহণ,
0x2600	সানি,রোদ,
0x1f31f	উজ্জ্বল,আসা,শুক্র,উজ্জ্বলতা,দর্শন করা,
0x1f320	শুটিং,দ্রুত,বিস্তার,
0x2601	আবহাওয়া,মেঘ,মেঘলা,দাগ,
0x1f300	টর্নেডো,ঝড়,ঘূর্ণিঝড়,ঘূর্ণিঝড়,
0x1f308	বৃষ্টি,রংধনু,বর্ণালী,ছাতা,
0x26a1	বৈদ্যুতিক,বিদ্যুৎ,বাজ,বিভব,স্ফুলিঙ্গ,বজ্রধ্বনি,
0x1f30a	মহাসমুদ্র,বেলোর্মি,
0x1f387	আতসবাজী,
0x1f38e	জাপানি,পুতুল,উৎসব,
0x1f3c6	পুরস্কার,ট্রফি,জয়,
0x26be	বেসবল,
0x1f3c0	বাস্কেটবল,
0x1f3c8	মার্কিন,রাগবি,
0x1f3b2	খেলা,মার্বেল,
0x2665	কার্ড,
0x1f50a	আয়তন,বক্তা,শব্দ,
0x1f514	ঘণ্টা,ভীতি,
0x1f3bc	সঙ্গীত,স্কোর,লিখন,
0x1f3a7	শ্রবণ,
0x1f3b8	যন্ত্র,নাটক,গিটার,
0x260e	টেলিফোন,কল,টেলিফোন,
0x1f4bf	সিডি,কম্পিউটার,ডিস্ক,অপটিক্যাল,ডিভিডি,রক্ষা,
0x1f3a5	ক্যামেরা,সিনেমা,ফিল্ম,
0x1f4f7	ভিডিও,ফটো,ছবি,গুলিবিদ্ধ,
0x1f4a1	বাতি,
0x1f4d6	বই,পুস্তক উদ্ধৃতি,অভিধান,
0x1f4da	শিক্ষা,
0x1f4b0	থলে,ডলার,ব্যাংক,চুরি করা,বাজেট,
0x1f4b5	বিল,মুদ্রা,দেয়া,
0x1f4b8	ওড়া,
0x1f4b2	হরিণ,
0x2702	কাটা,কাটা,সম্পাদন,
0x1f513	তালা,
0x1f510	চাবি,নিরাপদ কর,নিরাপত্তা,ঘনিষ্ঠ,
0x1f511	পাসওয়ার্ড,মান,
0x1f489	সুই,প্রতিরোধ কর,রক্ত,
0x1f48a	ক্যাপসুল,গুটি,গ৷নজ৷,
0x1f52e	স্ফটিক,অদৃষ্ট,ভবিষ্যৎ,
0x1f6ae	পালকি,বিন,আবর্জনা,ছাই,
0x1f6ab	প্রবেশ,না,বারণ,নিষিদ্ধ,
0x27a1	অভিমুখ,পূর্ব,আসছে,গো,
0x264a	ঋক্ষ,সেকেন্ড,
0x264c	সিংহ,
0x25b6	ত্রিভুজ,মাধ্যম,খেলুড়ে,
0x2714	সনাক্ত কর,
0x274c	প্রত্যাহার,গুণ,বংশবৃদ্ধি কর,
0x203c	বিরাম চিহ্ন,
0x2049	প্রশ্ন,
0x2753	অনুসন্ধান,
0x2755	সতর্কীকরণ,
0x00ae	নিবন্ধিত,খাতা,
0x2122	ট্রেডমার্ক,
0x1f51f	দশ,১০,
0x1f170	এক,
0x1f192	বায়ু,
0x1f193	মুক্ত,স্বাধীনতা,
0x24c2	বৃত্ত,এম,মেট্রো,মোবাইল ফোন,
0x1f195	নতুন,
0x1f17f	পার্ক,
0x1f199	সুখ,ঝাঁপ,
0x25ab	বর্গ,অনিরুদ্ধ,
0x26aa	সাদা,বরফ,
0x1f535	জরিমানা,
0x1f1fa,0x1f1f8	মার্কিন যুক্তরাষ্ট্র,আমেরিকা,
0x1f923	মেঝে,ঘূর্ণায়মান,
0x1f62f	বিস্মিত,
0x1f912	থার্মোমিটার,
0x1f915	ব্যাণ্ডেজ,অকল্যাণ,
0x1f922	বমি,
0x1f927	হাঁচি,
0x1f920	রাখাল,
0x1f921	ভাঁড়,
0x1f925	মিথ্যা,
0x2620	করোটি,
0x1f916	রোবট,
0x1f640	আরে,
0x1f468,0x200d,0x2695,0xfe0f	নার্স,
0x1f468,0x200d,0x1f393	পাস কর,ছাত্র,
0x1f468,0x200d,0x1f3eb	অধ্যাপক,শিক্ষক,
0x1f468,0x200d,0x2696,0xfe0f	বিচারক,দাঁড়িপাল্লা,
0x1f469,0x200d,0x2696,0xfe0f	বিচারক,
0x1f468,0x200d,0x1f33e	কৃষক,
0x1f468,0x200d,0x1f373	রাঁধুনি,
0x1f468,0x200d,0x1f527	মিস্ত্রি,
0x1f468,0x200d,0x1f3ed	সমাবেশ,কারখানা,ইন্ডাস্ট্রিয়াল,কর্মী,
0x1f468,0x200d,0x1f4bc	স্থপতি,ব্যবসা,ব্যবস্থাপক,
0x1f468,0x200d,0x1f52c	জীববিজ্ঞানী,রসায়নবিদ,প্রকৌশলী,গণিতবিদ,পদার্থবিজ্ঞানী,বিগ্গানী,
0x1f468,0x200d,0x1f4bb	আবিষ্কারক,সফটওয়্যার,
0x1f468,0x200d,0x1f3a4	অভিনেতা,
0x1f468,0x200d,0x1f3a8	শিল্পী,
0x1f468,0x200d,0x2708,0xfe0f	পাইলট,রেঁদা,
0x1f468,0x200d,0x1f680	নভোচারী,
0x1f575	গোয়েন্দা,চর,
0x1f477	নির্মাণ,
0x1f934	রাজা,
0x1f935	বর,
0x1f930	গর্ভবতী,
0x1f385	বড়দিনের পর্ব,পিতা,
0x1f936	মা,
0x1f647,0x200d,0x2642,0xfe0f	অনুগ্রহ,
0x1f937	আশঙ্কা,অজ্ঞান,অযত্ন,
0x1f3c3,0x200d,0x2642,0xfe0f	ধাবমান,
0x1f6c0	অবগাহ,বাথটব,
0x1f6cc	হোটেল,
0x1f5e3	মাথা,
0x1f93a	অসি,
0x1f3c7	ঘোড়া,
0x26f7	স্কি,
0x1f3cc	গলফ,
0x1f3cb	ওজন,
0x1f6b5	পর্বত,
0x1f938	জিমন্যাস্টিকস,
0x1f93c	লড়া,মল্ল,
0x1f93d	পোলো,
0x1f93e	গোলক,
0x1f939	ভারসাম্য,ক্ষমতা,
0x1f933	সেলফি,
0x1f91e	ক্রস,ভাগ্য,
0x270d	লেখা,
0x1f91d	চুক্তি,অধিবেশন,নাড়া,
0x1f441,0xfe0f,0x200d,0x1f5e8,0xfe0f	দেখা,
0x1f573	গর্ত,
0x1f456	প্যান্ট,ট্রাউজার্স,
0x1f45b	মুদ্রা,
0x1f392	স্কুল,
0x1f461	চন্দন,
0x26d1	সাহায্য,শিরস্ত্রাণ,
0x1f4ff	হার,ধর্ম,
0x1f98d	গরিলা,
0x1f43a	নেকড়ে,
0x1f981	সিংহ,
0x1f406	চিতাবাঘ,
0x1f98c	হরিণ,
0x1f42e	গরু,
0x1f402	বৃষ,বলদ,
0x1f403	মহিষ,
0x1f43d	নাক,
0x1f40f	মেষরাশি,পুরুষ,ভেড়া,
0x1f411	মহিলা,
0x1f42a	উট,
0x1f42b	উট,
0x1f418	হাতি,
0x1f98f	গন্ডার,
0x1f42d	ইঁদুর,
0x1f400	ইঁদুর,
0x1f987	বাদুড়,ভ্যাম্পায়ার,
0x1f983	পেরু,
0x1f54a	শান্তি,
0x1f985	ঈগল,
0x1f986	হাঁস,
0x1f989	পেঁচা,জ্ঞানী,
0x1f40a	কুমীর,
0x1f422	কাছিম,কাছিম,কাছিম,
0x1f98e	টিকটিকি,সরীসৃপ,
0x1f40d	সর্পধারী মণ্ডল,সর্প,
0x1f432	ড্রাগন,
0x1f988	হাঙ্গর,
0x1f419	অক্টোপাস,
0x1f41a	খোল,
0x1f980	ক্যান্সার,
0x1f990	শেলফিশ,
0x1f991	স্কুইড,
0x1f40c	শামুক,
0x1f98b	প্রজাপতি,পোকা,
0x1f41d	মৌমাছি,
0x1f41e	গুবরে পোকা,
0x1f578	মাকড়সা,ওয়েব,
0x1f982	বৃশ্চিক রাশি,
0x1f340	৪,চার,
0x1f347	দ্রাক্ষা,
0x1f95d	কিউই,
0x1f345	সবজি,
0x1f951	এভোক্যাডো,
0x1f346	বার্তাকু,
0x1f955	গাজর,
0x1f33d	ভুট্টা,মকাই,ধাঁধা,
0x1f336	মরিচ,
0x1f952	শসা,জরান,
0x1f344	ছত্রাক,
0x1f95c	বাদাম,চীনাবাদাম,
0x1f956	বাগেট,
0x1f953	বেকন,
0x1f32d	সসেজ,
0x1f959	ফালাফেল,কাবাব,ভরা,
0x1f95a	ডিম,
0x1f373	ভাঁজা,প্যান,
0x1f372	পাত্র,স্ট্যু,
0x1f957	সালাদ,
0x1f37f	ভুট্টার খই,
0x1f358	হ্যাকার,
0x1f35b	কারি,
0x1f35c	বাটি,নুডল,রামেন,
0x1f35d	পাস্তা,
0x1f362	লাঠি,
0x1f363	সুশি,
0x1f36d	ক্যান্ডি,
0x1f36e	পুডিং,
0x1f36f	মধু,
0x1f37e	ছিপি,
0x1f942	উদযাপন,
0x1f943	গেলাস,
0x1f37d	থালা,
0x1f944	চামচ,
0x1f3fa	কুম্ভ,
0x1f30f	এশিয়া,অস্ট্রেলিয়া,
0x1f5fa	মানচিত্র,
0x1f5fb	ফুজি,
0x1f3dd	দ্বীপ,
0x1f3df	স্টেডিয়াম,
0x1f3db	শাস্ত্রীয়,
0x1f3e2	ভবন,
0x1f3e3	পোস্ট,
0x1f3e4	ইউরোপিয়ান,
0x1f3ea	দোকান,
0x1f3ec	বিভাগ,
0x1f3ef	কেল্লা,
0x1f492	উপন্যাস,
0x1f5fc	টোকিও,মিনার,
0x1f5fd	স্বাধীনতা,মূর্তি,
0x26ea	খ্রিষ্টান,
0x1f54c	মুসলমান,
0x1f54d	ইহুদি,ইহুদী,মন্দির,
0x26e9	শিন্তো ধর্ম,
0x26f2	উত্স,
0x1f301	কুয়াশা,
0x1f3a1	চাকা,
0x1f3a2	বোলার,
0x1f3aa	সার্কাস,
0x1f5bc	কাঠামো,
0x1f682	ইঞ্জিন,রেলপথ,ভাপ,ট্রেন,
0x1f683	ট্রাম,ট্রলিবাস,
0x1f684	বেগ,
0x1f685	গুলি,
0x1f69d	বাহন,
0x1f68d	বাস,
0x1f692	ট্রাক,
0x1f696	ক্যাব,
0x1f69a	বিলি,
0x1f6f4	পদাঘাত,
0x1f6f5	মোটর,
0x1f6e3	রাজপথ,রাস্তা,
0x1f6a5	সংকেত,বাণিজ্য,
0x1f6a7	অর্গল,
0x1f6d1	অষ্টকোণী,চিহ্ন,
0x1f6ec	অবতরণ,
0x1f4ba	চেয়ার,
0x1f6a1	বায়বীয়,ট্রাম,
0x1f6aa	দরজা,
0x1f6bd	শৌচাগার,
0x231b	বালু,
0x231a	ঘড়ি,
0x1f313	কোয়ার্টার,
0x1f383	হ্যালোউইন,জ্যাক,আলো,
0x1f38b	পতাকা,
0x1f38d	বাঁশ,
0x1f391	উৎসব,
0x1f397	অনুস্মারক,
0x1f39f	কবুল,টিকিট,
0x1f396	পদক,মিলিটারি,
0x1f947	প্রথম,
0x1f948	রুপা,
0x1f949	ব্রোঞ্জ,তৃতীয়,
0x1f3d1	ক্ষেত্র,হকি,
0x1f94a	বক্সিং,দস্তানা,
0x1f94b	জুডো,কারাতে,টেকউন্ডো,উর্দি,
0x1f945	লক্ষ্য,নেট,
0x1f3af	টার্গেট,
0x26f8	স্কেইট,
0x1f0cf	ওয়াইল্ডকার্ড,
0x1f004	মাহ্ জঙ,
0x1f507	মূক,
0x1f509	পরিবেশ,
0x1f4ef	শিং,
0x1f399	মাইক্রোফোন,চিত্রশালা,
0x1f39a	লেভেল,স্লাইডার,
0x1f39b	নিয়ন্ত্রণ,
0x1f3b7	বাদ্যযন্ত্রবিশেষ,
0x1f3b9	কীবোর্ড,পিয়ানো,
0x1f941	ঢোল,
0x1f4f1	কোষ,
0x1f4f2	পাওয়া,
0x1f4e0	ফ্যাক্স,
0x1f50b	ব্যাটারি,
0x1f4bb	ব্যক্তিগত,
0x1f5a5	ডেস্কটপ,
0x1f39e	ফিল্ম,
0x1f4fa	টেলিভিশন সেট,
0x1f50d	খোঁজা,
0x1f52c	বিজ্ঞান,
0x1f4e1	শুঙ্গ,থালা,উপগ্রহ,
0x1f526	মশাল,
0x1f4d4	আচ্ছাদন,সজ্জিত,ল্যাপটপ,
0x1f4c3	বাঁক,দলিল,পাতা,
0x1f4f0	খবর,
0x1f5de	সংবাদপত্র,
0x1f3f7	লেবেল,
0x1f4b3	ধার,
0x1f4b9	মানচিত্র,গ্রাফ,বৃদ্ধি,বাজার,উপর,
0x1f4b1	বিনিময়,
0x2709	ই-মেইল,
0x1f4e8	ই-মেইল,লেফাফা,
0x1f4e9	প্রেরিত,
0x1f4e4	আউটবক্স,ট্রে,
0x1f4e6	মোড়ক,
0x1f4eb	ডাকবাক্স,
0x270f	পেনসিল,
0x2712	কলম,
0x1f58a	কলম,
0x1f4c1	ফাইল,ফোল্ডার,
0x1f4cb	ক্লিপবোর্ড,
0x1f587	মশাল,
0x1f4cf	শাসক,
0x1f4d0	সেট,
0x1f5c4	মন্ত্রিপরিষদ,
0x1f50f	কালি,গোপনীয়তা,
0x26cf	খনন,
0x2692	হাতুড়ি,মারা,
0x1f3f9	ধনুর্বিদ্যা,
0x1f529	বোলটু,
0x1f5dc	সংকোচন করুন,রোগ,
0x2697	রসায়ন,
0x26d3	শৃঙ্খল,
0x26b1	ছাই,শেষকৃত্য,
0x1f6e2	তেল,
0x267f	প্রবেশ,
0x1f6b9	পায়খানা,
0x1f6bc	পরিবর্তন,
0x1f6be	পায়খানা,
0x1f6c2	পাসপোর্ট,
0x1f6c3	কাস্টমস,
0x1f6c4	দাবি,
0x1f6c5	লটবহর,
0x26a0	সতর্কীকরণ,
0x1f51e	আঠার,
0x2622	তেজস্ক্রিয়,
0x2b06	উত্তর,
0x2197	উত্তর-পূর্ব,
0x2198	দক্ষিণ পূর্ব,
0x2b07	দক্ষিণ,
0x2199	দক্ষিণ পশ্চিম,
0x2196	উত্তর পশ্চিম,
0x1f503	রিলোড,
0x1f519	পিঠ,
0x1f51c	শীঘ্রই,
0x1f6d0	পূজা,
0x269b	পরমাণু,
0x1f549	হিন্দু,
0x2721	দাউদ,
0x2638	বৌদ্ধ,নিরঁজন,
0x2648	মেষ,
0x2649	বলদ,
0x264b	কাঁকড়া,
0x264f	বিছা,
0x2651	ছাগল,
0x26ce	সাপ,
0x1f501	পুনরাবৃত্তি কর,
0x1f502	একদা,
0x23e9	ডাবল,আক্রমণভাগের খেলোয়াড়,
0x23ef	থাম,
0x25c0	প্রতিলোম,
0x23ea	পুনরায় গোটানো,
0x23f8	খাড়া,
0x23fa	নথি,
0x23cf	প্রক্ষেপ করা,
0x1f505	উজ্জ্বলতা,অস্পষ্ট,নিচু,
0x1f4f3	মোড,কম্পন,
0x2695	কর্মী,
0x1f4db	নাম,
0x2795	প্লাস,
0x2797	বিভাগ,
0x27b0	আবর্তন,
0x303d	খন্ড,
0x2733	তারা,
0x00a9	কপিরাইট,
0x1f520	লাতিন,বড় হাতের অক্ষর,
0x1f521	ছোট হাতের অক্ষর,
0x1f524	অ আ,বর্ণমালা,
0x2139	আমার,
0x1f194	পরিচয়,
0x1f4a0	ভিতর,
0x1f518	রেডিও,
0x1f1e6,0x1f1e9	অ্যান্ডোরা,
0x1f1e6,0x1f1eb	আফগানিস্তান,
0x1f1e6,0x1f1f1	আলবেনিয়া,
0x1f1e6,0x1f1f2	আর্মেনিয়া,
0x1f1e6,0x1f1f4	অ্যাঙ্গোলা,
0x1f1e6,0x1f1f6	এন্টার্কটিকা,
0x1f1e6,0x1f1f7	আর্জেন্টিনা,
0x1f1e6,0x1f1f9	অস্ট্রিয়া,
0x1f1e6,0x1f1fc	আরুবা,
0x1f1e6,0x1f1ff	আজারবাইজান,
0x1f1e7,0x1f1e6	বসনিয়া এবং হার্জেগোভিনা,বসনিয়া,
0x1f1e7,0x1f1e7	বার্বাডোস,
0x1f1e7,0x1f1e9	বাংলাদেশ,
0x1f1e7,0x1f1ea	বেলজিয়াম,
0x1f1e7,0x1f1ec	বুলগেরিয়া,
0x1f1e7,0x1f1ed	বাহরাইন,
0x1f1e7,0x1f1ee	বুরুন্ডি,
0x1f1e7,0x1f1ef	বেনিন,
