0x1f615	എന്ത്,
0x1f493	ഹൃദയമിടിപ്പ്,
0x1f49a	പച്ച,
0x1f49b	മഞ്ഞ,
0x1f49f	അടിയന്തരാവസ്ഥ,
0x1f48c	കത്ത്,തപാൽ,
0x1f4a3	സ്ഫോടനവസ്തു,ബൂം,
0x1f4a8	വളി,വാതകം,ഓടുക,
0x1f4ab	താരം,ഭ്രമണം,
0x1f4ac	ബലൂണ്,കുമിള,കിംവദന്തി,
0x1f4ad	ചിന്ത,
0x1f453	കണ്ണട,
0x1f454	ടൈ,കുപ്പായം,അധികാരം,നെക്ക് ടൈ,
0x1f457	വസ്ത്രധാരണം,
0x1f459	വേനല്ക്കാലം,
0x1f45f	ചെരുപ്പ്,ചെരുപ്പ്,
0x1f451	രാജാവ്,സ്വര്ണം,കിരീടം,
0x1f3a9	തൊപ്പി,പമ്പരം,അഗ്രഭാഗം,
0x1f393	അക്കാദമി,
0x1f48d	വജ്രം,മോതിരം,ആഭരണം,സഹായകം,ആഭരണം,
0x1f48e	നിധി,
0x1f436	നായ,കുറുക്കൻ,
0x1f431	പുലി,
0x1f437	പന്നി,
0x1f43c	കളിമണ്ണ്,
0x1f43e	അടി,പാവ്,
0x1f426	പക്ഷി,തത്ത,
0x1f438	തവള,
0x1f433	തിമിംഗലം,സസ്തനി,
0x1f41f	മീനം,ചൂര,മത്സ്യം,ജലം,
0x1f338	പൂവ്,ചെറി,വസന്തം,
0x1f33b	സൂര്യകാന്തി,
0x1f33c	പ്രപഞ്ചം,ചെറുപ്പം,
0x1f333	ഇലപൊഴിയും വനങ്ങള്,മരം,വനം,
0x1f334	തെങ്ങ്,
0x1f335	ചെടി,മരുഭൂമി,
0x1f33e	ചെവി,ധാന്യം,അരി,വിളവെടുപ്പ്,ഫാം,യവം,ഗോതമ്പ്,
0x1f33f	ഇല,ഇല,സസ്യം,
0x1f343	കാറ്റ്,
0x1f349	ഫലം,തണ്ണിമത്തൻ,
0x1f34c	വാഴപ്പഴം,
0x1f34d	കൈതച്ചക്ക,
0x1f34e	ആപ്പിൾപ്പഴം,ആദാം,
0x1f351	പീച്ച്പഴം,പുത്രി,
0x1f353	ഞാവല് പഴം,മധുരം,
0x1f357	എല്ല്,കോഴി,കാല്,മാംസം,
0x1f35f	ഫ്രഞ്ച് ഭാഷ,ഉരുളക്കിഴങ്ങ്,
0x1f355	ചീസ്,കഷണം,പിറ്റ്സ,ആഹാരം,
0x1f364	ചെമ്മീൻ,
0x1f366	ക്രീം,ഐസ്,
0x1f369	അപ്പം,ഡോനട്ട്,
0x1f36b	അഴി,ചോക്കലേറ്റ്,
0x1f37c	കുപ്പി,കുടിയ്ക്കുക,പാൽ,
0x2615	കാപ്പി,ചൂട്,ചായ,ജാവ,
0x1f377	ഗ്ലാസ,വീഞ്ഞ്,
0x1f378	കോക്ടെയ്ൽ,മാലിദ്വീപ്,മൊഹിറ്റോ,
0x1f37a	ബിയർ,മഗ്ഗ്,കരടി,
0x1f37b	toasy,അംശം,
0x1f374	പാചകം,പോഷകനദി,കത്തി,തിന്നുക,
0x1f52a	ഉപകരണം,ആയുധം,കൊല്ലുക,
0x1f30d	ആഫ്രിക്ക,യൂറോപ്പ്,ഭൂമി,ലോകം,യൂറോ,ആഗോള,
0x1f30e	അമേരിക്ക,പടിഞ്ഞാറ്,
0x1f3e0	വീട്,വീട്,അന്ത്യവിശ്രമം,
0x1f3e1	തോട്ടം,വില്ല,
0x1f303	രാത്രി,ചന്ദ്രന്,നഗരം,
0x1f305	പ്രഭാതം,ചക്രവാളം,പുലരി,
0x1f306	സന്ധ്യ,സന്ധ്യ,തിരശ്ചീനദിശ,സൂര്യാസ്തമയം,അന്ധകാരം,പുലരി,സന്ധ്യ,
0x1f307	കാഴ്ച,തിളക്കം,
0x1f309	പാലം,
0x1f30c	ഇട,ഗാലക്സി,
0x1f488	പോൾ,
0x1f3ad	കല,രംഗകല,നാടകകല,അജ്ഞാത,
0x1f3a8	സംഗ്രഹാലയം,ചിത്രകല,വര്ണ്ണരാജി,ചിത്രം,ചായം,
0x1f697	കാര്,
0x1f698	കാർ,
0x1f6b2	സൈക്കിൾ,സൈക്കിൾ,യാത്ര,
0x26fd	ഇന്ധനം,അവസ്ഥ,പെട്രോളിയം,
0x1f6a8	പ്രകാശം,സിറെൻ,ആപത്ത്,അന്യായം,
0x2693	കപ്പല്,തുറമുഖം,ആങ്കർ,
0x26f5	നൗക,
0x2708	വിമാനം,വിമാനം,യാത്ര,
0x1f680	വാണം,
0x1f311	കറുപ്പ്,അജ്ഞത,ഗ്രഹണം,
0x2600	ആനന്ദം,
0x1f320	വെടി,വേഗം,വികസനം,
0x2601	അന്തരീക്ഷസ്ഥിതി,ക്ലൗഡ്,അവ്യക്തമാക്കല്,
0x1f308	മഴ,മഴവില്ല്,കുട,
0x26a1	വൈദ്യുതി,മിന്നല്,വോൾട്ടത,ചൈതന്യം,ഇടി,
0x1f30a	സമുദ്രം,സുനാമി,
0x1f386	പടക്കം,
0x1f387	പടക്കം,
0x1f38a	മധുരപലഹാരം,
0x1f38e	പാവ,ഉത്സവം,
0x1f3c6	ജയം,വിജയിക്കുക,
0x26be	ബേസ്ബാള്,
0x1f3c0	ബാസ്ക്കറ്റ്ബോള്,
0x1f3c8	റഗ്ബി,
0x1f3b2	കളി,മാർബിൾ,
0x2665	കാര്ഡ്,
0x1f514	മണി,അസ്വസ്ഥത,
0x1f3a4	കരോക്കി,ഗായകൻ/ഗായിക,പാടുക,
0x1f3b8	ഉപകരണം,കളി,ഗിറ്റാർ,
0x260e	ഫോൺ,അപേക്ഷ,ടെലിഫോൺ,
0x1f4bf	കമ്പ്യൂട്ടർ,ഡിസ്ക്,സംരക്ഷിക്കുക,
0x1f3a5	ക്യാമറ,ചലച്ചിത്രം,ചലച്ചിത്രം,
0x1f4f7	ഛായാചിത്രം,ചിത്രം,ഷോട്ട്,
0x1f4a1	വിളക്ക്,
0x1f4d6	പുസ്തകം,ബുക്ക്മാര്ക്ക്,നിഘണ്ടു,
0x1f4da	അധ്യയനം,
0x1f4b5	കൊക്ക്,നാണയം,പ്രതിഫലം,
0x1f4b8	പറക്കുക,
0x2702	മുറിക്കുക,സംശോധനം,തോട്,
0x1f513	പൂട്ട്,
0x1f510	താക്കോല്,ഉറപ്പ്,അടക്കുക,
0x1f511	രഹസ്യവാക്ക്,മൂല്യം,
0x1f489	സൂചി,തടയുക,രക്തം,കുത്തിവെയ്പു്,
0x1f48a	ഗുളിക,അപമാനം,
0x1f6ac	പുകവലി,സിഗരട്ട്,പുക,
0x1f52e	പരൽ,ധനം,ഭാവി,മന്ത്രവാദം,
0x1f6ae	ലിറ്റർ,അറ,
0x1f6ab	എന്ട്രി,നിഷേധം,
0x27a1	കർദ്ദിനാൾ,സംവിധാനം,കിഴക്ക്,വെയ്ക്കി,
0x264a	നക്ഷത്രരാശി,രണ്ടാമത്തെ,
0x264c	സിംഹം,
0x25b6	ത്രികോണം,പ്ലെയര്,
0x274c	റദ്ദാക്കുക,ഗുണനം,
0x2796	ഗണിതം,വ്യവകലനം,നദി,
0x203c	ചിഹ്നനം,ജ്ഞാനോദയം,
0x2049	ചോദ്യം,
0x2122	ട്രേഡ് മാർക്ക്,
0x1f51f	പത്ത്,
0x1f4af	നിറഞ്ഞ,നൂറ്,കവചം,അണി,
0x1f171	ബി,
0x1f192	കലഹം,
0x1f193	സ്വതന്ത്രം,സ്വാതന്ത്ര്യം,
0x24c2	വൃത്തം,മെട്രോ,മൊബൈല്,
0x1f195	പുതിയ,
0x1f17f	ഉദ്യാനം,
0x1f199	ആനന്ദം,ചാട്ടം,
0x25ab	സമചതുരം,
0x26aa	വെളുപ്പ്,ഹിമം,
0x1f1fa,0x1f1f8	അമേരിക്കന് ഐക്യനാടുകള്,അമേരിക്കന് ഐക്യനാടുകള്,
0x1f923	തറ,
0x1f912	താപമാപിനി,
0x1f915	ബാൻഡേജ്,ഉപദ്രവം,
0x1f922	കക്കു്ക,
0x1f927	ഓമ്പുക,
0x1f920	കൗബോയ്,
0x1f921	ക്ലോണ്,
0x1f925	കള്ളം,പിനോക്യോ,
0x1f913	നെർഡ്,
0x2620	തലയോട്ടി,
0x1f916	റോബോട്ട്,
0x1f468,0x200d,0x2695,0xfe0f	ആയ,
0x1f468,0x200d,0x1f393	വിദ്യാര്ത്ഥി,
0x1f468,0x200d,0x1f3eb	അദ്ധ്യാപകന്,
0x1f468,0x200d,0x2696,0xfe0f	നീതി,
0x1f469,0x200d,0x2696,0xfe0f	ജഡ്ജ്,
0x1f468,0x200d,0x1f33e	കര്ഷകന്,
0x1f468,0x200d,0x1f373	പാചകം,
0x1f468,0x200d,0x1f527	ശില്പി,
0x1f468,0x200d,0x1f3ed	കൂട്ടം,
0x1f468,0x200d,0x1f4bc	വാസ്തുശിൽപി,കാര്യം,മാനേജര്,
0x1f468,0x200d,0x1f52c	രസതന്ത്രം,എഞ്ചിനീയർ,ഗണിതവിദഗ്ധൻ,
0x1f468,0x200d,0x1f4bb	കമ്പ്യൂട്ടർ സോഫ് റ്റ് വെയർ,
0x1f468,0x200d,0x1f3a4	നടൻ,
0x1f468,0x200d,0x1f3a8	ആര്ട്ടിസ്റ്റ്,
0x1f468,0x200d,0x2708,0xfe0f	വിമാനം,
0x1f468,0x200d,0x1f680	ബഹിരാകാശസഞ്ചാരി,
0x1f477	കെട്ടിടം,
0x1f934	രാജകുമാരന്,
0x1f930	ഗര്ഭിണി,
0x1f936	അമ്മ,
0x1f937	ആശങ്ക,അജ്ഞത,
0x1f6c0	കുളി,കുളിതൊട്ടി,
0x1f6cc	ഹോട്ടൽ,
0x1f574	അന്യായം,
0x1f5e3	തല,
0x1f93a	ഫെൻസിംഗ്,വാള്,
0x1f3c7	കുതിര,
0x1f3cc	ഗോൾഫ്,
0x1f3cb	ഭാരം,
0x1f6b5	പര്വതം,
0x1f938	ജിംനാസ്റ്റിക്സ്,
0x1f93e	ഹാന്റ്ബോൾ,
0x1f939	തുല്യത,നൈപുണ്യം,
0x1f933	സെൽഫി,
0x1f91e	കുരിശ്,ആനുകൂല്യം,
0x270d	എഴുത്ത്,
0x1f91d	കരാർ,കൂടിക്കാഴ്ച,നിമിഷം,
0x1f441,0xfe0f,0x200d,0x1f5e8,0xfe0f	തെളിവ്,
0x1f573	ഗുഹ,
0x1f45b	നാണയം,
0x1f392	വിദ്യാലയം,
0x1f461	ചന്ദനം,
0x26d1	സഹായം,ഹെൽമറ്റ്,
0x1f4ff	മതം,
0x1f98d	ഗറില്ല,
0x1f43a	ചെന്നായ്,
0x1f981	ചിങ്ങം,
0x1f406	പുള്ളിപ്പുലി,
0x1f984	യൂനികോൺ,
0x1f98c	മാൻ,
0x1f42e	പശു,
0x1f402	ഇടവം,കാള,
0x1f403	എരുമ,
0x1f43d	മൂക്ക്,
0x1f40f	മേടം,പുരുഷന്,ചെമ്മരിയാട്,
0x1f411	സ്ത്രീ,
0x1f42a	ഒട്ടകം,മുഴ,
0x1f42b	ഒട്ടകം,
0x1f418	ആന,
0x1f98f	കാണ്ടാമൃഗം,
0x1f42d	മൗസ്,
0x1f400	എലി,
0x1f987	ഗദ,യക്ഷി,
0x1f983	ടർക്കി,
0x1f413	പൂവങ്കോഴി,
0x1f423	ഉണ്ണി,
0x1f427	പെന്ഗ്വിന്,
0x1f54a	സമാധാനം,
0x1f985	പരുന്ത്,
0x1f986	ഡക്ക്,
0x1f989	മൂങ്ങ,
0x1f40a	മുതല,
0x1f422	ആമ,ആമ,
0x1f98e	പല്ലി,ഉരഗം,
0x1f40d	ആചരണം,പാമ്പ്,
0x1f988	സ്രാവ്,
0x1f419	നീരാളി,
0x1f41a	ആവരണം,
0x1f980	അർബുദം,
0x1f991	കണവ,
0x1f40c	ഒച്ച്,
0x1f98b	ചിത്രശലഭം,പ്രാണി,
0x1f41d	ഇണ്ട,
0x1f578	എട്ടുകാലി,വല,
0x1f982	വൃശ്ചികം,വൃശ്ചികം,
0x1f340	നാല്,
0x1f347	മുന്തിരിങ്ങ,
0x1f95d	കിവി,
0x1f345	പച്ചക്കറി,
0x1f951	ആത്തച്ചക്ക,
0x1f346	വഴുതന,
0x1f955	കാരറ്റ്,
0x1f33d	ധാന്യം,ചോളം,
0x1f336	കുരുമുളക്,
0x1f952	വെള്ളരി,ലിംഗം,
0x1f344	കുമിൾ,
0x1f95c	നട്ട്,നിലക്കടല,
0x1f953	പന്നിയിറച്ചി,
0x1f959	കബാബ്,
0x1f95a	മുട്ട,
0x1f373	pan,
0x1f372	കലം,ഇഷ്ടു,
0x1f957	സാലഡ്,
0x1f37f	പോപ്കോൺ,
0x1f35b	കറി,
0x1f35c	കിണ്ണം,നൂഡിൽസ്,
0x1f362	വടി,
0x1f363	സുഷി,
0x1f36e	പായസം,
0x1f36f	തേൻ,
0x1f375	ചായകോപ്പ,
0x1f943	മദ്യം,വിസ്കി,
0x1f37d	പിഞ്ഞാണം,
0x1f944	കരണ്ടി,
0x1f3fa	കുംഭം,
0x1f5fa	മാപ്പ്,
0x1f3dd	ദ്വീപ്,
0x1f3df	കളിക്കളം,
0x1f3e2	കെട്ടിടം,
0x1f3e3	അവസ്ഥ,
0x1f3ea	സംവിധാനം,കട,
0x1f3ec	വിഭാഗം,
0x1f492	കപ്പേള,അഭിനിവേശം,
0x1f5fc	ടോക്കിയോ,ഗോപുരം,
0x1f5fd	സ്വാതന്ത്യ്രം,പ്രതിമ,
0x1f54c	മുസ്ലിം,
0x1f54d	അംപലം,
0x26e9	ഷിന്റൊ,
0x26f2	ഉറവിടം,
0x1f301	മൂടൽമഞ്ഞ്,
0x1f3a1	ചക്രം,
0x1f3aa	സർക്കസ്,
0x1f5bc	ആകാരം,
0x1f3b0	സ്ലോട്ട്,
0x1f682	എൻജിൻ,തീവണ്ടിപ്പാത,ആവി,തീവണ്ടി,
0x1f684	വേഗം,
0x1f685	വെടിയുണ്ട,
0x1f687	സബ്വേ,
0x1f69d	വാഹനം,
0x1f68d	ബസ്,
0x1f696	ടാക്സി,
0x1f69a	പ്രദാനം,
0x1f6f4	തൊഴി,സ്കൂട്ടർ,
0x1f6f5	യന്ത്രം,
0x1f6e3	പാത,റോഡ്,
0x1f6a5	അടയാളം,ഗതാഗതം,
0x1f6a7	തടസ്സം,
0x1f6d1	അങ്കം,
0x1f6eb	ദേഹത്യാഗം,
0x1f4ba	കസേര,
0x1f6a0	ചങ്ങല,
0x1f6a1	ട്രാം,
0x1f6aa	കവാടം,
0x1f6bd	കക്കൂസ്,
0x231b	മണൽ,
0x23f3	മണൽ ഘടികാരം,
0x231a	ക്ലോക്ക്,
0x1f313	കാല്,
0x1f383	വിളക്ക്,
0x1f38b	കൊടി,
0x1f38d	മുള,ദുഃഖം,
0x1f390	മണിനാദം,
0x1f391	അനുഷ്ഠാനം,
0x1f397	ഓര്മ്മക്കുറിപ്പ്,
0x1f39f	കുറ്റസമ്മതം,
0x1f396	പതക്കം,സൈന്യം,
0x1f947	ഒന്നം,
0x1f948	വെള്ളി,
0x1f949	വെങ്കലം,മൂന്നം,
0x1f3d1	അവസരം,
0x1f94a	ബോക്സിങ്,
0x1f94b	ജൂഡോ,കരാട്ടെ,തായ്കൊണ്ടോ,
0x1f945	ഉദ്ദേശ്യം,വല,
0x1f3af	ലക്ഷ്യം,
0x26f8	കാക്ക തിരണ്ടി,
0x1f3bd	അത്ലെറ്റിക്സ്,
0x1f0cf	വൈല്ഡ്കാര്ഡ്,
0x1f507	നിശ്ശബ്ദമാക്കുക,
0x1f509	ഉപകരണം,
0x1f4ef	കൊമ്പ്,
0x1f399	മൈക്രോഫോൺ,ചിത്രശാല,
0x1f39a	നില,സ്ലൈഡര്,
0x1f39b	നിയന്ത്രണം,
0x1f3b7	സാക്സഫോൺ,
0x1f3b9	കീബോഡ്,പിയാനോ,
0x1f941	ഡ്രം,
0x1f4f1	സെൽ,
0x1f4e0	ഫാക്സ്,
0x1f50b	ബാറ്ററി,
0x1f50c	ദ്വാരം,
0x1f5a5	ഡെസ്ക്ടോപ്പ്,
0x1f39e	ചലച്ചിത്രം,
0x1f4fc	ടേപ്പ്,
0x1f50d	തിരയൽ,
0x1f52c	ശാസ്ത്രം,
0x1f4e1	ആന്റിന,കറി,ഉപഗ്രഹം,
0x1f526	പന്തം,
0x1f4d4	മൂടി,നോട്ട്ബുക്ക്,
0x1f4c3	രേഖ,പേജ്,
0x1f4f0	വാർത്ത,
0x1f5de	പത്രം,
0x1f3f7	ലേബൽ,
0x1f4b4	അഭിനിവേശം,
0x1f4b3	അംഗീകാരം,
0x1f4b9	ചാര്ട്ട്,ആരേഖം,പുരോഗതി,ചന്ത,ഗതി,
0x1f4b1	കൈമാറുക,
0x2709	ഇ-മെയിൽ,
0x1f4e8	ഇ-മെയില്,കവര്,
0x1f4e4	ഔട്ട് ബോക്സ്,ട്ര,
0x1f4e6	അംശം,
0x1f4eb	മെയില്ബോക്സ്,
0x270f	പെൻസിൽ,
0x2712	പേന,
0x1f4bc	പെട്ടി,
0x1f4c1	അരം,കൂട്,
0x1f4c6	കലണ്ടർ,
0x1f5d2	ഇല,
0x1f4cb	പകര്പ്പിടം,
0x1f587	ലിങ്ക്,
0x1f4cf	അളവുകോല്,
0x1f4d0	ഗണം,
0x1f5c4	അലമാരി,
0x1f50f	മഷി,ഏകാന്തത,
0x1f5dd	ക്ലോവ്,
0x26cf	ഖനനം,
0x2692	ചുറ്റിക,
0x1f6e0	റെഞ്ച്,
0x1f3f9	ധനു,വില്ലാളി,
0x1f529	ബോൾട്,
0x1f5dc	കംപ്രസ് ചെയ്യുക,പകരം,
0x2697	രസതന്ത്രം,
0x2696	തുലാം,
0x26d3	അടിമത്തം,
0x26b1	ചാമ്പൽ,അപരക്രിയ,പാടുന്നത്,
0x1f6e2	എണ്ണ,
0x1f6d2	കാളവണ്ടി,
0x267f	പ്രവേശനം,
0x1f6c2	പാസ്പോർട്ട്,
0x1f6c4	അവകാശം,
0x1f6c5	ഭാരം,
0x1f6b8	കുട്ടി,ജാതി,
0x1f51e	പതിനെട്ട്,
0x2b06	വടക്ക്,
0x2198	തെക്കുകിഴക്കൻ,
0x2b07	തെക്ക്,
0x2199	തെക്ക്-പടിഞ്ഞാറ്,
0x1f519	പുറം,
0x1f51a	അഗ്രം,
0x1f6d0	ആരാധന,
0x269b	ആറ്റം,
0x1f549	ഹിന്ദു,
0x2721	ദാവീദ്,
0x2648	കൂടം,
0x264f	തേൾ,
0x2651	ആട്,
0x26ce	ഉരഗം,
0x23e9	ഫോര്വേഡുചെയ്യുക,
0x23ef	അല്പംനിര്ത്തുക,
0x25c0	തിരിച്ചടി,
0x23ea	പിന്നോട്ടോടിക്കുക,
0x23fa	രേഖ,
0x1f505	തെളിച്ചം,മങ്ങിക്കുക,
0x1f4f3	സമ്പ്രദായം,ഇളക്കം,
0x2695	സ്റ്റാഫ്,
0x1f531	ചിഹ്നം,
0x1f4db	അടയാളം,പേര്,
0x2797	വിഭാഗം,
0x27b0	കണ്ണി,
0x303d	ഭാഗം,
0x2733	നക്ഷത്രചിഹ്നം,
0x00a9	പകർപ്പവകാശം,
0x1f520	ലാറ്റിൻ,വലിയക്ഷരത്തിലുള്ള,
0x1f521	ചെറിയക്ഷര,
0x1f524	അക്ഷരമാല,അക്ഷരമാല,
0x2139	ഞാന്,
0x1f194	ഐഡന്റിറ്റി,
0x1f4a0	അകം,
0x1f518	റേഡിയോ,
0x1f1e6,0x1f1e9	അന്ഡോറ,
0x1f1e6,0x1f1eb	അഫ്ഗാനിസ്ഥാന്,
0x1f1e6,0x1f1f1	അല്ബേനിയ,
0x1f1e6,0x1f1f2	അര്മേനിയ,
0x1f1e6,0x1f1f4	അംഗോള,
0x1f1e6,0x1f1f6	അന്റാര്ട്ടിക്ക,
0x1f1e6,0x1f1f7	അര്ജന്റീന,
0x1f1e6,0x1f1f9	ഓസ്ട്രിയ,
0x1f1e6,0x1f1ff	അസര്ബെയ്ജാന്,
0x1f1e7,0x1f1e7	ബര്ബാഡോസ്,
0x1f1e7,0x1f1e9	ബംഗ്ലാദേശ്,
0x1f1e7,0x1f1ea	ബെല്ജിയം,
0x1f1e7,0x1f1ec	ബൾഗേറിയ,
0x1f1e7,0x1f1ed	ബഹറിന്,
0x1f1e7,0x1f1ee	ബറുണ്ടി,
0x1f1e7,0x1f1ef	ബെനിന്,
0x1f1e7,0x1f1f3	ബ്രൂണൈ,
0x1f1e7,0x1f1f4	ബൊളീവിയ,
0x1f1e7,0x1f1f7	ബ്രസീല്,
0x1f1e7,0x1f1f8	ബഹാമാസ്,
0x1f1e7,0x1f1f9	ഭൂട്ടാന്,
0x1f1e7,0x1f1fc	ബോട്സ്വാന,
0x1f1e7,0x1f1fe	ബെലാറുസ്,
0x1f1e7,0x1f1ff	ബെലീസ്,
